20|41.3|IN
20|40.5|IN
20|41.2|IN
20|41.9|IN
20|41.9|IN
20|41.9|IN
54|40.6|IN
54|40.6|IN
54|40.6|IN
54|40.6|IN
54|40.6|IN
54|40.6|IN
54|40.6|IN
213|40.0|IN
213|40.1|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
345|45.7|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
371|42.9|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
481|45.8|IN
679|48.5|IN
679|48.5|IN
679|45.6|IN
679|48.5|IN
831|40.3|IN
922|45.3|IN
922|45.3|IN
922|45.3|IN
922|42.4|IN
922|45.3|IN
922|41.4|IN
955|40.7|IN
955|45.0|IN
955|45.0|IN
955|41.3|IN
955|42.4|IN
955|45.0|IN
955|45.0|IN
955|43.5|IN
955|44.6|IN
955|45.0|IN
955|42.2|IN
1027|44.1|IN
1027|40.5|IN
1027|43.4|IN
1027|44.1|IN
