1968,32
2000,22
1961,22
1966,21
1959,20
1971,19
1995,18
1994,18
1967,18
2012,17
2002,17
1970,17
2018,16
2001,16
1999,16
1998,16
1993,16
1988,16
1977,16
1965,16
1960,16
1923,16
1916,16
2010,15
2004,15
1992,15
1978,15
1974,15
1964,15
1963,15
1962,15
2019,14
2008,14
2005,14
2003,14
1997,14
1990,14
1958,14
1955,14
2020,13
2006,13
1976,13
1941,13
1931,13
1927,13
2022,12
2013,12
2007,12
1989,12
1986,12
1985,12
1975,12
1973,12
1949,12
2023,11
2015,11
2014,11
2009,11
1983,11
1982,11
1980,11
1972,11
1956,11
1954,11
2011,10
1996,10
1987,10
1979,10
1969,10
1957,10
1935,10
1921,10
1991,9
1952,9
1917,9
2021,8
2017,8
1939,8
1919,8
1981,7
1950,7
1948,7
1946,7
1943,7
1930,7
2016,6
1984,6
1945,6
1953,5
1951,5
1940,5
1922,5
1947,4
1944,4
1928,3
1926,3
1942,2
1918,2
1913,2
1938,1
1932,1
1929,1
